play_id,sequence_number,type,description,away_score,home_score,period,clock,scoring_play,team_id,timestamp_utc
401722268101805401,101805401,Lost Ball Turnover,Colby Rogers Turnover.,0,0,1st Half,19:45,False,235,2024-11-22T03:08:57Z
401722268101807901,101807901,JumpShot,Ndewedo Newbury made Jumper.,0,2,1st Half,19:20,True,2539,2024-11-22T03:08:57Z
401722268101809801,101809801,JumpShot,Moussa Cisse missed Jumper.,0,2,1st Half,19:01,False,235,2024-11-22T03:08:57Z
401722268101809802,101809802,Offensive Rebound,Memphis Offensive Rebound.,0,2,1st Half,19:01,False,235,2024-11-22T03:08:57Z
401722268101809803,101809803,Block Shot,Tyrone Riley IV Block.,0,2,1st Half,19:01,False,2539,2024-11-22T03:08:57Z
401722268101814301,101814301,JumpShot,Colby Rogers missed Three Point Jumper.,0,2,1st Half,18:56,False,235,2024-11-22T03:08:57Z
401722268101814601,101814601,Defensive Rebound,Tyrone Riley IV Defensive Rebound.,0,2,1st Half,18:53,False,2539,2024-11-22T03:08:57Z
401722268101816001,101816001,JumpShot,Carlton Linguard Jr. made Three Point Jumper. Assisted by Ndewedo Newbury.,0,5,1st Half,18:39,True,2539,2024-11-22T03:13:25Z
401722268101817701,101817701,JumpShot,Tyrese Hunter missed Three Point Jumper.,0,5,1st Half,18:22,False,235,2024-11-22T03:09:47Z
401722268101817901,101817901,Defensive Rebound,Tyrone Riley IV Defensive Rebound.,0,5,1st Half,18:20,False,2539,2024-11-22T03:09:47Z
401722268101824201,101824201,JumpShot,Marcus Williams made Three Point Jumper. Assisted by Malik Thomas.,0,8,1st Half,17:57,True,2539,2024-11-22T03:10:11Z
401722268101825601,101825601,ShortTimeOut,Memphis  Timeout,0,8,1st Half,17:43,False,235,2024-11-22T03:10:29Z
401722268101827001,101827001,JumpShot,Colby Rogers missed Three Point Jumper.,0,8,1st Half,17:29,False,235,2024-11-22T03:12:06Z
401722268101827301,101827301,Offensive Rebound,Nicholas Jourdain Offensive Rebound.,0,8,1st Half,17:26,False,235,2024-11-22T03:12:06Z
401722268101828101,101828101,PersonalFoul,Foul on Malik Thomas.,0,8,1st Half,17:18,False,2539,2024-11-22T03:12:28Z
401722268101828102,101828102,MadeFreeThrow,Moussa Cisse made Free Throw.,1,8,1st Half,17:18,True,235,2024-11-22T03:12:28Z
401722268101828201,101828201,MadeFreeThrow,Moussa Cisse missed Free Throw.,1,8,1st Half,17:17,False,235,2024-11-22T03:13:11Z
401722268101828202,101828202,Defensive Rebound,Tyrone Riley IV Defensive Rebound.,1,8,1st Half,17:17,False,2539,2024-11-22T03:13:11Z
401722268101829601,101829601,PersonalFoul,Foul on Colby Rogers.,1,8,1st Half,17:03,False,235,2024-11-22T03:13:25Z
401722268101834101,101834101,JumpShot,Malik Thomas missed Jumper.,1,8,1st Half,16:58,False,2539,2024-11-22T03:13:52Z
401722268101834501,101834501,Defensive Rebound,PJ Haggerty Defensive Rebound.,1,8,1st Half,16:54,False,235,2024-11-22T03:13:55Z
401722268101834901,101834901,Lost Ball Turnover,PJ Haggerty Turnover.,1,8,1st Half,16:50,False,235,2024-11-22T04:01:37Z
401722268101834902,101834902,Steal,Tyrone Riley IV Steal.,1,8,1st Half,16:50,False,2539,2024-11-22T03:14:02Z
