game_id,team_id,player_id,displayName,starter,didNotPlay,MIN,PTS,OREB,DREB,REB,AST,STL,BLK,TO,FG,FG%,3PT,3PT%,FT,FT%,PF
401718463,2678,5176339,Robert Peters,True,False,15,4,0,1,1,0,1,0,1,2-5,40.0,0-2,0.0,0-0,0.0,0
401718463,2678,5107076,TJ Johnson,True,False,35,5,3,5,8,1,1,0,1,2-8,25.0,1-5,20.0,0-1,0.0,2
401718463,2678,5243263,Linus Holmstrom,True,False,26,9,1,3,4,0,0,0,1,3-8,37.5,3-8,37.5,0-0,0.0,4
401718463,2678,5176530,Tan Yildizoglu,True,False,36,17,1,4,5,3,3,0,3,6-12,50.0,1-4,25.0,4-4,100.0,1
401718463,2678,5107351,Rickey Bradley Jr.,True,False,36,26,1,4,5,3,1,0,1,10-16,62.5,3-5,60.0,3-5,60.0,4
401718463,2678,5243264,Kaden Stuckey,False,False,22,8,3,1,4,1,2,1,1,2-5,40.0,1-2,50.0,3-3,100.0,3
401718463,2678,5243262,Cal Liston,False,False,17,2,1,3,4,1,0,0,0,0-1,0.0,0-1,0.0,2-2,100.0,4
401718463,2678,5176338,Maurice Wright Jr.,False,False,8,0,0,0,0,0,0,0,1,0-4,0.0,0-2,0.0,0-0,0.0,1
401718463,2678,5176334,AJ Clark,False,False,5,0,0,0,0,1,1,0,0,0-0,0.0,0-0,0.0,0-0,0.0,0
401718463,2678,5176499,Cyprian Hyde,False,True,,,,,,,,,,,,,,,,
401718463,2678,5176346,Augustinas Kiudulas,False,True,,,,,,,,,,,,,,,,
401718463,2678,5243265,Jaylen Pazon,False,True,,,,,,,,,,,,,,,,
401718463,2678,5176337,Walker Andrews,False,True,,,,,,,,,,,,,,,,
401718463,2678,5176332,Jaren Morton,False,True,,,,,,,,,,,,,,,,
401718463,2678,4897367,Cooper Sisco,False,True,,,,,,,,,,,,,,,,
401718463,257,5106043,Jonathan Beagle,True,False,15,4,2,3,5,3,0,0,0,2-4,50.0,0-0,0.0,0-0,0.0,1
401718463,257,4702966,Dusan Neskovic,True,False,25,23,2,4,6,2,0,0,1,8-16,50.0,3-8,37.5,4-4,100.0,3
401718463,257,5174629,Mikkel Tyne,True,False,19,3,0,0,0,2,1,0,2,1-3,33.3,0-1,0.0,1-3,33.3,0
401718463,257,4897373,Jason Roche,True,False,29,6,0,0,0,2,0,0,1,2-8,25.0,2-7,28.6,0-0,0.0,2
401718463,257,4703199,DeLonnie Hunt,True,False,36,16,0,4,4,1,1,0,3,2-3,66.7,1-1,100.0,11-12,91.7,2
401718463,257,5105566,Apostolos Roumoglou,False,False,24,10,2,0,2,1,1,0,1,4-9,44.4,2-7,28.6,0-0,0.0,3
401718463,257,5105974,Mike Walz,False,False,25,4,2,6,8,4,0,3,0,2-3,66.7,0-0,0.0,0-0,0.0,2
401718463,257,5174628,Collin Tanner,False,False,10,4,1,3,4,1,1,1,0,2-3,66.7,0-1,0.0,0-0,0.0,0
401718463,257,4432137,B. Artis White,False,False,17,8,0,2,2,2,0,0,2,2-8,25.0,2-8,25.0,2-3,66.7,5
401718463,257,5239674,Bryson McGlothin,False,True,,,,,,,,,,,,,,,,
401718463,257,5239673,Jaylen Robinson,False,True,,,,,,,,,,,,,,,,
401718463,257,5180826,Jack D'Entremont,False,True,,,,,,,,,,,,,,,,
401718463,257,5174631,Ryan Soulis,False,True,,,,,,,,,,,,,,,,
401718463,257,5239672,Kirby Mooney,False,True,,,,,,,,,,,,,,,,
401718463,257,5174630,Jack Graham,False,True,,,,,,,,,,,,,,,,
401718463,257,4897057,Liam Weaver,False,True,,,,,,,,,,,,,,,,
401718463,257,4711274,George Washington III,False,True,,,,,,,,,,,,,,,,
