game_id,team_id,player_id,displayName,starter,didNotPlay,PTS,FG,3PT,FT,REB,AST,TO,STL,BLK,OREB,DREB,PF,MIN
401819843,2247,5313069,Joah Chappelle,True,False,10,5-9,0-1,0-2,9,1,1,1,1,2,7,3,30
401819843,2247,5174974,Isaiah Sherrard,True,False,5,2-4,1-2,0-0,0,1,2,2,0,0,0,2,25
401819843,2247,5313071,Christian Beam,True,False,2,1-1,0-0,0-0,5,0,2,1,1,2,3,4,25
401819843,2247,5164367,Malachi Brown,True,False,2,1-7,0-0,0-0,1,3,1,1,0,0,1,4,20
401819843,2247,4895747,Jelani Hamilton,True,False,26,6-15,2-7,12-12,3,4,2,2,0,0,3,2,35
401819843,2247,5180677,Anthony Enoh,False,False,5,2-7,1-3,0-0,5,3,2,1,1,1,4,1,22
401819843,2247,4912212,James Cooper,False,False,2,0-2,0-0,2-2,2,0,0,0,0,2,0,2,4
401819843,2247,5313072,Chris Jones,False,False,0,0-2,0-1,0-0,1,0,0,0,0,0,1,0,4
401819843,2247,5313070,Ayouba Berthe,False,False,3,1-4,1-3,0-0,2,1,2,0,0,0,2,2,13
401819843,2247,5313068,Micah Tucker,False,False,9,3-6,1-3,2-2,3,0,3,0,0,0,3,2,22
401819843,2247,5239903,Kwame Tanic,False,True,,,,,,,,,,,,,
401819843,2247,5239902,Trey Scott III,False,True,,,,,,,,,,,,,
401819843,2247,5239901,Clash Peters,False,True,,,,,,,,,,,,,
401819843,2247,5239900,Emmanuel Koveos,False,True,,,,,,,,,,,,,
401819843,2247,4895743,Jakai Newton,False,True,,,,,,,,,,,,,
401819843,2132,5075626,Baba Miller,True,False,24,8-9,1-1,7-10,11,1,2,1,3,1,10,0,30
401819843,2132,5149078,Moustapha Thiam,True,False,10,4-11,0-2,2-7,9,0,3,3,0,4,5,1,29
401819843,2132,5175032,Day Day Thomas,True,False,12,4-10,4-7,0-0,3,4,0,2,0,2,1,3,28
401819843,2132,5101852,Shon Abaev,True,False,4,1-6,0-5,2-2,2,2,2,0,0,1,1,3,19
401819843,2132,4683633,Kerr Kriisa,True,False,8,2-10,1-7,3-4,3,3,3,0,0,0,3,0,30
401819843,2132,4873163,Tyler McKinley,False,False,2,1-3,0-1,0-0,4,1,1,0,0,3,1,2,17
401819843,2132,5311911,Jordi Rodriguez,False,False,2,1-5,0-4,0-0,2,3,3,0,0,0,2,2,17
401819843,2132,5196876,Keyshuan Tillery,False,False,0,0-0,0-0,0-0,1,0,0,0,0,0,1,0,9
401819843,2132,5105790,Sencire Harris,False,False,9,3-4,0-1,3-3,2,0,1,2,0,1,1,5,15
401819843,2132,4598611,Jalen Celestine,False,False,3,1-4,1-3,0-0,1,1,0,0,0,0,1,3,6
401819843,2132,4709151,Jalen Haynes,False,True,,,,,,,,,,,,,
401819843,2132,5240256,Halvine Dzellat,False,True,,,,,,,,,,,,,
401819843,2132,5311910,Lucas Atauri,False,True,,,,,,,,,,,,,
401819843,2132,5311909,Bryson Buckingham,False,True,,,,,,,,,,,,,
401819843,2132,5105282,Grant Darbyshire,False,True,,,,,,,,,,,,,
