sequence_number,type,description,away_score,home_score,period,clock,scoring_play,team_id,timestamp_utc
1,Noah Feddersen vs Aaron Keykal (North Dakota St. gains possession),Noah Feddersen vs Aaron Keykal (North Dakota St. gains possession),0,0,1,20:00,False,0,2025-11-22T01:23:34.213260
2,2 Pointer MISSED by North Dakota St.'s Trevian Carson,2 Pointer MISSED by North Dakota St.'s Trevian Carson,0,0,1,19:45,False,1641,2025-11-22T01:23:34.213280
3,Defensive rebound by St. Scholastica's Ben Raymond,Defensive rebound by St. Scholastica's Ben Raymond,0,0,1,19:41,False,1679,2025-11-22T01:23:34.213284
4,Jumper MISSED by St. Scholastica's Aaron Keykal,Jumper MISSED by St. Scholastica's Aaron Keykal,0,0,1,19:14,False,1679,2025-11-22T01:23:34.213287
5,Block by North Dakota St.'s Noah Feddersen,Block by North Dakota St.'s Noah Feddersen,0,0,1,19:14,False,1641,2025-11-22T01:23:34.213290
6,Defensive rebound by North Dakota St.'s Andy Stefonowicz,Defensive rebound by North Dakota St.'s Andy Stefonowicz,0,0,1,19:07,False,1641,2025-11-22T01:23:34.213293
7,Layup by North Dakota St.'s Markhi Strickland,Layup by North Dakota St.'s Markhi Strickland,0,2,1,19:06,False,1641,2025-11-22T01:23:34.213296
8,Subbing out for North Dakota St.-Markhi Strickland,Subbing out for North Dakota St.-Markhi Strickland,0,2,1,19:03,False,1641,2025-11-22T01:23:34.213299
9,Subbing in for North Dakota St.-Carson Smith,Subbing in for North Dakota St.-Carson Smith,0,2,1,19:03,False,1641,2025-11-22T01:23:34.213302
10,Jumper MISSED by St. Scholastica's Davion Butler,Jumper MISSED by St. Scholastica's Davion Butler,0,2,1,19:02,False,1679,2025-11-22T01:23:34.213305
11,Defensive rebound by North Dakota St.'s Damari Wheeler-Thomas,Defensive rebound by North Dakota St.'s Damari Wheeler-Thomas,0,2,1,19:02,False,1641,2025-11-22T01:23:34.213308
12,Layup by North Dakota St.'s Carson Smith,Layup by North Dakota St.'s Carson Smith,0,4,1,18:42,False,1641,2025-11-22T01:23:34.213311
13,Assist by North Dakota St.'s Trevian Carson,Assist by North Dakota St.'s Trevian Carson,0,4,1,18:42,False,1641,2025-11-22T01:23:34.213314
14,Turnover by St. Scholastica 's Davion Butler,Turnover by St. Scholastica 's Davion Butler,0,4,1,18:25,False,1679,2025-11-22T01:23:34.213316
15,Steal by North Dakota St.'s Trevian Carson,Steal by North Dakota St.'s Trevian Carson,0,4,1,18:25,False,1641,2025-11-22T01:23:34.213319
16,2 Pointer MISSED by North Dakota St.'s Damari Wheeler-Thomas,2 Pointer MISSED by North Dakota St.'s Damari Wheeler-Thomas,0,4,1,18:11,False,1641,2025-11-22T01:23:34.213322
17,Offensive rebound by North Dakota St.'s North Dakota St.,Offensive rebound by North Dakota St.'s North Dakota St.,0,4,1,18:10,False,1641,2025-11-22T01:23:34.213324
18,St. Scholastica takes a [short] time out.,St. Scholastica takes a [short] time out.,0,4,1,18:10,False,1679,2025-11-22T01:23:34.213328
19,Jumper by North Dakota St.'s Trevian Carson,Jumper by North Dakota St.'s Trevian Carson,0,6,1,18:03,False,1641,2025-11-22T01:23:34.213330
20,Assist by North Dakota St.'s Andy Stefonowicz,Assist by North Dakota St.'s Andy Stefonowicz,0,6,1,18:03,False,1641,2025-11-22T01:23:34.213333
21,Turnover by St. Scholastica 's Koy Nelson,Turnover by St. Scholastica 's Koy Nelson,0,6,1,17:45,False,1679,2025-11-22T01:23:34.213336
22,Steal by North Dakota St.'s Andy Stefonowicz,Steal by North Dakota St.'s Andy Stefonowicz,0,6,1,17:45,False,1641,2025-11-22T01:23:34.213339
