play_id,sequence_number,type,description,away_score,home_score,period,clock,scoring_play,team_id,timestamp_utc
6506253_1,1,N'famara Dabo vs Keelan Steele (Brown gains possession),N'famara Dabo vs Keelan Steele (Brown gains possession),0,0,1,20:00,False,0,2025-12-03T23:05:46.064189
6506253_2,2,2 Pointer by Brown's Landon Lewis,2 Pointer by Brown's Landon Lewis,2,0,1,19:44,False,130,2025-12-03T23:05:46.064223
6506253_3,3,Turnover by Maine 's Mekhi Gray,Turnover by Maine 's Mekhi Gray,2,0,1,19:21,False,1834,2025-12-03T23:05:46.064230
6506253_4,4,Steal by Brown's Landon Lewis,Steal by Brown's Landon Lewis,2,0,1,19:21,False,130,2025-12-03T23:05:46.064235
6506253_5,5,Jumper MISSED by Brown's Luke Paragon,Jumper MISSED by Brown's Luke Paragon,2,0,1,19:08,False,130,2025-12-03T23:05:46.064240
6506253_6,6,Block by Maine's Ryan Mabrey,Block by Maine's Ryan Mabrey,2,0,1,19:08,False,1834,2025-12-03T23:05:46.064245
6506253_7,7,Offensive rebound by Brown's Luke Paragon,Offensive rebound by Brown's Luke Paragon,2,0,1,19:05,False,130,2025-12-03T23:05:46.064250
6506253_8,8,Jumper MISSED by Brown's Luke Paragon,Jumper MISSED by Brown's Luke Paragon,2,0,1,19:04,False,130,2025-12-03T23:05:46.064255
6506253_9,9,Defensive rebound by Maine's Ryan Mabrey,Defensive rebound by Maine's Ryan Mabrey,2,0,1,19:01,False,1834,2025-12-03T23:05:46.064262
6506253_10,10,Personal Foul on Brown's Luke Paragon (Ryan Mabrey draws the foul),Personal Foul on Brown's Luke Paragon (Ryan Mabrey draws the foul),2,0,1,18:59,False,130,2025-12-03T23:05:46.064270
6506253_11,11,Jumper MISSED by Maine's Ryan Mabrey,Jumper MISSED by Maine's Ryan Mabrey,2,0,1,18:47,False,1834,2025-12-03T23:05:46.064281
6506253_12,12,Defensive rebound by Brown's Luke Paragon,Defensive rebound by Brown's Luke Paragon,2,0,1,18:43,False,130,2025-12-03T23:05:46.064289
6506253_13,13,Layup by Brown's N'famara Dabo,Layup by Brown's N'famara Dabo,4,0,1,18:28,False,130,2025-12-03T23:05:46.064298
6506253_14,14,Assist by Brown's Jeremiah Jenkins,Assist by Brown's Jeremiah Jenkins,4,0,1,18:28,False,130,2025-12-03T23:05:46.064307
